GSTR1 Filing Freq,GSTR3B Filing Freq,GSTR1 Filing Status,GSTR3B Filing Status,GSTR1 Filing Date,GSTR3B Filing Date,GSTIN ID,Registration Name,State,Status,E-mail Id,Mobile Number,Registration Start Date,Registration End Date,Jurisdiction 2,Jurisdiction 3,Jurisdiction 4,Registration Type,Constitution of Business,Approving Authority,Return Period,IGST on Import of Goods - 4A1,CGST on Import of Goods - 4A1,SGST on Import of Goods - 4A1,CESS on Import of Goods - 4A1,IGST on Import of Services - 4A2,CGST on Import of Services - 4A2,SGST on Import of Services - 4A2,CESS on Import of Services - 4A2,IGST on Reverse Charge - 4A3,CGST on Reverse Charge - 4A3s,SGST on Reverse Charge - 4A3s,CESS on Reverse Charge - 4A3s,IGST on ISD - 4A4,CGST on ISD - 4A4,SGST on ISD - 4A4,CESS on ISD - 4A4,IGST on Other Supplies - 4A5,CGST on Other Supplies - 4A5,SGST on Other Supplies - 4A5,CESS on Other Supplies - 4A5,IGST - Rule based ITC Reversal - 4B1,CGST - Rule based ITC Reversal- 4B1,SGST - Rule based ITC Reversal- 4B1,Cess - Rule based ITC Reversal- 4B1,IGST - Other ITC Reversal - 4B2,CGST - Other ITC Reversal- 4B2,SGST - Other ITC Reversal- 4B2,Cess - Other ITC Reversal- 4B2,IGST Net ITC - 4C,CGST Net ITC- 4C,SGST Net ITC- 4C,CESS Net ITC- 4C,IGST in 4D1,CGST in 4D1,SGST in 4D1,Cess in 4D1,IGST in 4D2,CGST in 4D2,SGST in 4D2,Cess in 4D2
"M","M","1","1","2023-03-09","2023-03-20","24ADEPT1606L1ZJ","R.V. ENTERPRISE","Gujarat","Active","chetan@pashupaticotton.com","9099977558","2017-07-01",,"GANDHINAGAR","KADI DIVISION","RANGE IV","Normal Tax payer","Proprietorship","CENTER","202302","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","12769661.00","12769661.00","0.00","0.00","0.00","0.00","0.00","1179178.61","1451146.56","1451146.56","0.00","0.00","0.00","0.00","0.00","0.00","282.00","282.00","0.00","1179178.61","14220525.56","14220525.56","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2023-03-09","2023-03-31","24ADZFS1440C1Z3","SNS TRENCHLESS ENGINEERING","Gujarat","Active","snste09@gmail.com","8347013430","2019-08-21",,"Division - 6","Range - 14","Ghatak 55 (Bharuch)","Normal Tax payer","Partnership","STATE","202302","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17500.00","0.00","0.00","0.00","76269.00","7569.00","7569.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","93769.00","7569.00","7569.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-08-06","2022-08-06","24AADFR3902P2Z1","RAJLAXMI CONSTRUCTION CO.","Gujarat","Active","rajlaxmiconstruction@yahoo.co.in","9879504748","2017-07-01",,"Division - 11","Range - 24","Ghatak 100 (Jamnagar)","Normal Tax payer","Partnership","STATE","202205","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","43.75","43.75","0.00","0.00","0.00","0.00","0.00","0.00","1812131.78","1812131.78","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1812175.53","1812175.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-07-16","2022-07-16","24AAFFO9309R1ZM","OPERA-INFRASTRUCTURES LLP","Gujarat","Active","dilip@operaenergy.in","9825508411","2018-05-23",,"RAJKOT","JAMNAGAR - I DIVISION","JAMNAGAR-I RANGE","Normal Tax payer","Limited Liability Partnership","CENTER","202205","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","13669.81","4766572.49","4766572.49","0.00","0.00","0.00","0.00","0.00","0.00","2662.43","2662.43","0.00","13669.81","4763910.06","4763910.06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-06-11","2022-07-11","24AAZFM0141R1ZO","MRG CONSTRUCTIONS","Gujarat","Active","guptasagarcool@gmail.com","9855164267","2021-07-29",,"Division - 4","Range - 8","Ghatak 35 (Deesa)","Normal Tax payer","Partnership","STATE","202205","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","71750.02","79003.62","79003.62","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","71750.02","79003.62","79003.62","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2023-03-10","2023-04-10","24AAVFG3150G1ZE","GOPAL ISPAT","Gujarat","Active","CA.KPJAGAD@GMAIL.COM","9898354400","2020-07-28",,"BHAVNAGAR","DIVISION - BHAVNAGAR - I","BHAVNAGAR - 1","Normal Tax payer","Partnership","CENTER","202302","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2362.50","9755.66","9755.66","0.00","0.00","0.00","0.00","0.00","22514.40","3503788.34","3503788.34","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","24876.90","3513544.00","3513544.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2023-03-07","2023-03-16","24AAXFR3097H1ZL","RUDRA-SHAKTI CARTING CONTRACTOR","Gujarat","Active","KEYURPBAROT@YAHOO.COM","7567971795","2018-04-05",,"AHMEDABAD-NORTH","DIVISION-VII - S G HIGHWAY EAST","RANGE V","Normal Tax payer","Partnership","CENTER","202302","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","180208.00","180208.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","180208.00","180208.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2023-02-09","2023-02-21","24AALFV2388P1ZC","VSP DAIRY INDUSTRIES","Gujarat","Active","vspcorporation1@gmail.com","9909918909","2017-07-01",,"AHMEDABAD-NORTH","DIVISION-VI - S G HIGHWAY WEST","RANGE II","Normal Tax payer","Partnership","CENTER","202301","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","97610.72","825660.12","825660.12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","97610.72","825660.12","825660.12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2023-04-03","2023-04-04","24AGSPR6304A1ZJ","ANJANI  EXCAVATION  OPERATIONS","Gujarat","Active","shrisaiconsultancy27@gmail.com","9825527633","2017-07-01",,"VADODARA-II","DIVISION-VII BHARUCH","RANGE-IV","Normal Tax payer","Proprietorship","CENTER","202302","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","13202.48","13202.48","0.00","0.00","0.00","0.00","0.00","0.00","3368906.79","3368906.79","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3382109.27","3382109.27","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2023-02-10","2023-02-18","24ADEPT1606L1ZJ","R.V. ENTERPRISE","Gujarat","Active","chetan@pashupaticotton.com","9099977558","2017-07-01",,"GANDHINAGAR","KADI DIVISION","RANGE IV","Normal Tax payer","Proprietorship","CENTER","202301","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4102973.00","4102973.00","0.00","0.00","0.00","0.00","0.00","2549568.23","1476404.40","1476404.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2549568.23","5579377.40","5579377.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2023-02-02","2023-03-04","24ADZFS1440C1Z3","SNS TRENCHLESS ENGINEERING","Gujarat","Active","snste09@gmail.com","8347013430","2019-08-21",,"Division - 6","Range - 14","Ghatak 55 (Bharuch)","Normal Tax payer","Partnership","STATE","202301","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9650.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2638112.00","150314.00","150314.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2647762.00","150314.00","150314.00","0.00","0.00","0.00","0.00","0.00","0.00","19611.43","19611.43","0.00"
"M","M","1","1","2023-02-11","2023-02-20","24AAEFE3626Q1Z7","ERA OVERSEAS","Gujarat","Active","eraoverseas@gmail.com","9978442260","2017-07-01",,"Division - 1","Range - 3","Ghatak 11 (Ahmedabad)","Normal Tax payer","Partnership","STATE","202301","1053918.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8500.00","4250.00","4250.00","0.00","0.00","0.00","0.00","0.00","21150.00","139269.64","139269.64","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1083568.00","143519.64","143519.64","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2023-02-10","2023-02-25","24AALFP6600L1Z3","POWER GAIN ENGINEERS","Gujarat","Active","accounts@powergainengineers.com","9909412240","2017-07-01",,"AHMEDABAD-NORTH","DIVISION-VI - S G HIGHWAY WEST","RANGE II","Normal Tax payer","Partnership","CENTER","202301","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1352.00","2936.00","2936.00","0.00","0.00","0.00","0.00","0.00","363015.41","1932801.42","1932801.42","176566.52","0.00","147276.14","147276.14","176566.52","34.17","106.80","106.80","0.00","364333.24","1788354.48","1788354.48","0.00","34.17","106.80","106.80","0.00","0.00","72769.00","72769.00","0.00"
"M","M","1","1","2023-02-03","2023-02-03","24AALFJ8777A2Z5","J&A ENGINEERING","Gujarat","Active","Info@jandaengineering.com","9924935247","2017-09-06",,"VADODARA-I","DIVISION-III VADODARA","RANGE-II","Normal Tax payer","Partnership","CENTER","202211","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","124.00","2631.00","2631.00","0.00","0.00","0.00","0.00","0.00","4300714.35","221276.98","221276.98","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4300838.35","223907.98","223907.98","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-11-11","2022-11-18","24AADFJ2638N1Z7","JAY PEE AGENCY","Gujarat","Active","jaypee_agency@yahoo.in","9824014018","2017-07-01",,"Division - 1","Range - 3","Ghatak 11 (Ahmedabad)","Normal Tax payer","Partnership","STATE","202210","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","500867.82","500867.82","0.00","0.00","0.00","0.00","0.00","0.00","7915.00","7915.00","0.00","0.00","492952.82","492952.82","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"I","I",,,,,"24AAIFF7084K1Z2","Food Fashionista","Gujarat","Active","gmfinance@bthindore.com","9111103590","2022-12-09",,"Division - 5","Range - 10","Ghatak 39 (Vadodara)","Normal Tax payer","Partnership","STATE","202211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00","0.00","0.00","0.00",,,,
"Q","Q",,,,,"24AAPFB2818J1ZD","BHARAT SANITARY AND FITTING","Gujarat","Active","hardikraval133@gmail.com","9898661593","2018-04-18",,"Division - 11","Range - 21","Ghatak 85 (Junagadh)","Normal Tax payer","Partnership","STATE","202302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00","0.00","0.00","0.00",,,,
"M","M","1","1","2023-02-06","2023-02-14","24AAXFR3097H1ZL","RUDRA-SHAKTI CARTING CONTRACTOR","Gujarat","Active","KEYURPBAROT@YAHOO.COM","7567971795","2018-04-05",,"AHMEDABAD-NORTH","DIVISION-VII - S G HIGHWAY EAST","RANGE V","Normal Tax payer","Partnership","CENTER","202301","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","89139.23","89139.23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","89139.23","89139.23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Q","Q","0","1","2023-02-13",,"24AAPFB2818J1ZD","BHARAT SANITARY AND FITTING","Gujarat","Active","hardikraval133@gmail.com","9898661593","2018-04-18",,"Division - 11","Range - 21","Ghatak 85 (Junagadh)","Normal Tax payer","Partnership","STATE","202301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00","0.00","0.00","0.00",,,,
"M","M","1","1","2022-12-09","2022-12-19","24AADFJ2638N1Z7","JAY PEE AGENCY","Gujarat","Active","jaypee_agency@yahoo.in","9824014018","2017-07-01",,"Division - 1","Range - 3","Ghatak 11 (Ahmedabad)","Normal Tax payer","Partnership","STATE","202211","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","700.00","700.00","0.00","0.00","0.00","0.00","0.00","307526.00","1371547.00","1371547.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","307526.00","1372247.00","1372247.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-11-10","2022-12-11","24AAVFG3150G1ZE","GOPAL ISPAT","Gujarat","Active","CA.KPJAGAD@GMAIL.COM","9898354400","2020-07-28",,"BHAVNAGAR","DIVISION - BHAVNAGAR - I","BHAVNAGAR - 1","Normal Tax payer","Partnership","CENTER","202210","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3255.00","31290.44","31290.44","0.00","0.00","0.00","0.00","0.00","1821.24","2715412.28","2715412.28","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5076.24","2746702.72","2746702.72","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"I","I",,,,,"24AAIFF7084K1Z2","Food Fashionista","Gujarat","Active","gmfinance@bthindore.com","9111103590","2022-12-09",,"Division - 5","Range - 10","Ghatak 39 (Vadodara)","Normal Tax payer","Partnership","STATE","202210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00","0.00","0.00","0.00",,,,
"M","M","1","1","2023-04-21","2023-08-08","24AALFJ8777A2Z5","J&A ENGINEERING","Gujarat","Active","Info@jandaengineering.com","9924935247","2017-09-06",,"VADODARA-I","DIVISION-III VADODARA","RANGE-II","Normal Tax payer","Partnership","CENTER","202302","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","650.00","127.13","127.13","0.00","0.00","0.00","0.00","0.00","917528.01","159959.83","159959.83","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","918178.01","160086.96","160086.96","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-11-09","2022-11-09","24AADFR3902P2Z1","RAJLAXMI CONSTRUCTION CO.","Gujarat","Active","rajlaxmiconstruction@yahoo.co.in","9879504748","2017-07-01",,"Division - 11","Range - 24","Ghatak 100 (Jamnagar)","Normal Tax payer","Partnership","STATE","202209","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6884750.95","6884750.95","0.00","0.00","0.00","0.00","0.00","0.00","22.31","22.31","0.00","0.00","6884728.64","6884728.64","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-10-11","2022-12-03","24AAFFO9309R1ZM","OPERA-INFRASTRUCTURES LLP","Gujarat","Active","dilip@operaenergy.in","9825508411","2018-05-23",,"RAJKOT","JAMNAGAR - I DIVISION","JAMNAGAR-I RANGE","Normal Tax payer","Limited Liability Partnership","CENTER","202209","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","59212.80","2980551.86","2980551.86","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","59212.80","2980551.86","2980551.86","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2023-02-08","2023-03-21","24AGSPR6304A1ZJ","ANJANI  EXCAVATION  OPERATIONS","Gujarat","Active","shrisaiconsultancy27@gmail.com","9825527633","2017-07-01",,"VADODARA-II","DIVISION-VII BHARUCH","RANGE-IV","Normal Tax payer","Proprietorship","CENTER","202301","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9921.48","9921.48","0.00","0.00","0.00","0.00","0.00","388920.00","860898.85","860898.85","0.00","0.00","0.00","0.00","0.00","388920.00","0.00","0.00","0.00","0.00","870820.33","870820.33","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-12-08","2023-01-18","24AAZFM0141R1ZO","MRG CONSTRUCTIONS","Gujarat","Active","guptasagarcool@gmail.com","9855164267","2021-07-29",,"Division - 4","Range - 8","Ghatak 35 (Deesa)","Normal Tax payer","Partnership","STATE","202211","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","807726.36","460821.94","460821.94","0.00","0.00","0.00","0.00","0.00","0.00","36000.00","36000.00","0.00","807726.36","424821.94","424821.94","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-08-10","2022-08-10","24AALFJ8777A2Z5","J&A ENGINEERING","Gujarat","Active","Info@jandaengineering.com","9924935247","2017-09-06",,"VADODARA-I","DIVISION-III VADODARA","RANGE-II","Normal Tax payer","Partnership","CENTER","202205","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","45845.42","624999.57","624999.57","0.00","0.00","0.00","0.00","0.00","219150.00","0.00","0.00","0.00","-173304.58","624999.57","624999.57","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-10-10","2022-10-14","24ADZFS1440C1Z3","SNS TRENCHLESS ENGINEERING","Gujarat","Active","snste09@gmail.com","8347013430","2019-08-21",,"Division - 6","Range - 14","Ghatak 55 (Bharuch)","Normal Tax payer","Partnership","STATE","202209","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14600.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","358956.00","419696.00","419696.00","0.00","0.00","0.00","0.00","0.00","0.00","19790.00","19790.00","0.00","373556.00","399906.00","399906.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-11-11","2022-11-17","24ABIPK6373R1ZY","JAY AMBE INDUSTRIES","Gujarat","Active","khemanihrajesh@gmail.com","9099880620","2017-07-01",,"AHMEDABAD-NORTH","DIVISION-III - SANAND","RANGE I","Normal Tax payer","Proprietorship","CENTER","202210","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1681970.40","5121077.94","5121077.94","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1681970.40","5121077.94","5121077.94","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"I","I",,,,,"24AAIFF7084K1Z2","Food Fashionista","Gujarat","Active","gmfinance@bthindore.com","9111103590","2022-12-09",,"Division - 5","Range - 10","Ghatak 39 (Vadodara)","Normal Tax payer","Partnership","STATE","202204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00","0.00","0.00","0.00",,,,
"M","M","1","1","2023-05-03","2023-05-04","24AADFR3902P2Z1","RAJLAXMI CONSTRUCTION CO.","Gujarat","Active","rajlaxmiconstruction@yahoo.co.in","9879504748","2017-07-01",,"Division - 11","Range - 24","Ghatak 100 (Jamnagar)","Normal Tax payer","Partnership","STATE","202301","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1422000.00","1250282.63","1250282.63","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1422000.00","1250282.63","1250282.63","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2023-02-11","2023-02-20","24AAFFO9309R1ZM","OPERA-INFRASTRUCTURES LLP","Gujarat","Active","dilip@operaenergy.in","9825508411","2018-05-23",,"RAJKOT","JAMNAGAR - I DIVISION","JAMNAGAR-I RANGE","Normal Tax payer","Limited Liability Partnership","CENTER","202301","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","20.50","20.50","0.00","0.00","0.00","0.00","0.00","2150302.90","4173415.72","4173415.72","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2150302.90","4173436.22","4173436.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-12-06","2022-12-20","24ADKFS4178E1ZX","SWASTIK CONSTRUCTION","Gujarat","Active","tinubari@rediffmail.com","9925100994","2017-10-18",,"SURAT","DIVISION-XII UMBERGAON","RANGE-V","Normal Tax payer","Partnership","CENTER","202211","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","63415.17","63415.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","63415.17","63415.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-11-09","2022-11-24","24ADKFS4178E1ZX","SWASTIK CONSTRUCTION","Gujarat","Active","tinubari@rediffmail.com","9925100994","2017-10-18",,"SURAT","DIVISION-XII UMBERGAON","RANGE-V","Normal Tax payer","Partnership","CENTER","202210","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5567.10","5567.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5567.10","5567.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"I","I",,,,,"24AAIFF7084K1Z2","Food Fashionista","Gujarat","Active","gmfinance@bthindore.com","9111103590","2022-12-09",,"Division - 5","Range - 10","Ghatak 39 (Vadodara)","Normal Tax payer","Partnership","STATE","202208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00","0.00","0.00","0.00",,,,
"M","M","1","1","2022-12-07","2022-12-23","24AALFV2388P1ZC","VSP DAIRY INDUSTRIES","Gujarat","Active","vspcorporation1@gmail.com","9909918909","2017-07-01",,"AHMEDABAD-NORTH","DIVISION-VI - S G HIGHWAY WEST","RANGE II","Normal Tax payer","Partnership","CENTER","202211","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2675.00","2675.00","0.00","0.00","0.00","0.00","0.00","366518.39","944753.04","944753.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","366518.39","947428.04","947428.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-12-08","2022-12-16","24AAXFR3097H1ZL","RUDRA-SHAKTI CARTING CONTRACTOR","Gujarat","Active","KEYURPBAROT@YAHOO.COM","7567971795","2018-04-05",,"AHMEDABAD-NORTH","DIVISION-VII - S G HIGHWAY EAST","RANGE V","Normal Tax payer","Partnership","CENTER","202211","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6814.42","6814.42","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6814.42","6814.42","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-09-10","2022-09-21","24AALFV2388P1ZC","VSP DAIRY INDUSTRIES","Gujarat","Active","vspcorporation1@gmail.com","9909918909","2017-07-01",,"AHMEDABAD-NORTH","DIVISION-VI - S G HIGHWAY WEST","RANGE II","Normal Tax payer","Partnership","CENTER","202208","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1545.70","1545.70","0.00","0.00","0.00","0.00","0.00","39269.85","428456.86","428456.86","0.00","0.00","0.00","0.00","0.00","0.00","430.18","430.18","0.00","39269.85","429572.38","429572.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-12-11","2022-12-18","24AAVFG3150G1ZE","GOPAL ISPAT","Gujarat","Active","CA.KPJAGAD@GMAIL.COM","9898354400","2020-07-28",,"BHAVNAGAR","DIVISION - BHAVNAGAR - I","BHAVNAGAR - 1","Normal Tax payer","Partnership","CENTER","202211","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2790.00","11702.17","11702.17","0.00","2475.00","4660778.43","4660778.43","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5265.00","4672480.60","4672480.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Q","Q",,,,,"24AAPFB2818J1ZD","BHARAT SANITARY AND FITTING","Gujarat","Active","hardikraval133@gmail.com","9898661593","2018-04-18",,"Division - 11","Range - 21","Ghatak 85 (Junagadh)","Normal Tax payer","Partnership","STATE","202211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00","0.00","0.00","0.00",,,,
"I","I",,,,,"24AAIFF7084K1Z2","Food Fashionista","Gujarat","Active","gmfinance@bthindore.com","9111103590","2022-12-09",,"Division - 5","Range - 10","Ghatak 39 (Vadodara)","Normal Tax payer","Partnership","STATE","202206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00","0.00","0.00","0.00",,,,
"I","I",,,,,"24AAIFF7084K1Z2","Food Fashionista","Gujarat","Active","gmfinance@bthindore.com","9111103590","2022-12-09",,"Division - 5","Range - 10","Ghatak 39 (Vadodara)","Normal Tax payer","Partnership","STATE","202207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00","0.00","0.00","0.00",,,,
"M","M","1","1","2022-06-01","2022-06-01","24ADZFS1440C1Z3","SNS TRENCHLESS ENGINEERING","Gujarat","Active","snste09@gmail.com","8347013430","2019-08-21",,"Division - 6","Range - 14","Ghatak 55 (Bharuch)","Normal Tax payer","Partnership","STATE","202204","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","38850.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","784462.00","18108.00","18108.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","823312.00","18108.00","18108.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-12-21","2022-12-21","24AADFR3902P2Z1","RAJLAXMI CONSTRUCTION CO.","Gujarat","Active","rajlaxmiconstruction@yahoo.co.in","9879504748","2017-07-01",,"Division - 11","Range - 24","Ghatak 100 (Jamnagar)","Normal Tax payer","Partnership","STATE","202211","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1004641.09","1004641.09","0.00","0.00","0.00","0.00","0.00","0.00","99.00","99.00","0.00","0.00","1004542.09","1004542.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
